"","Team","Year","ContestFirst","FirstPct","ContestTop5","Top5Pct"
"1","Henrietta Ol' Henries",2016,"BLadderFirstPlace",0.333333333333333,"BLadderTop5",42.3333333333333
"2","Point Pleasant Pea Pickers",2016,"BLadderFirstPlace",0,"BLadderTop5",5.33333333333333
"3","Sayville Blue Jays",2016,"BLadderFirstPlace",0,"BLadderTop5",0
"4","Sea Breeze Indians",2016,"BLadderFirstPlace",0,"BLadderTop5",0.333333333333333
"5","Copenhagen Cubs",2016,"BLadderFirstPlace",0,"BLadderTop5",0.333333333333333
"6","Great Bend Cobras",2016,"BLadderFirstPlace",0,"BLadderTop5",0.666666666666667
"7","West Carthage Hornets",2016,"BLadderFirstPlace",0,"BLadderTop5",0
"8","Carthage Nighthawks",2016,"BLadderFirstPlace",0,"BLadderTop5",0
"9","Louisville Turtles",2016,"BLadderFirstPlace",0,"BLadderTop5",0
"10","Islip Wolves",2016,"BLadderFirstPlace",22,"BLadderTop5",42.6666666666667
"11","Bay Shore Redskins",2016,"BLadderFirstPlace",0.666666666666667,"BLadderTop5",27.6666666666667
"12","Deer Park Bucks",2016,"BLadderFirstPlace",0,"BLadderTop5",0.333333333333333
"13","East Farmingdale Hares",2016,"BLadderFirstPlace",0,"BLadderTop5",0
"14","West Sayville Flying Dutchmen",2016,"BLadderFirstPlace",15.3333333333333,"BLadderTop5",58
"15","North Greece Lil Squirts",2016,"BLadderFirstPlace",0,"BLadderTop5",1
"16","Central Islip Hoboes",2016,"BLadderFirstPlace",2,"BLadderTop5",26.6666666666667
"17","Hagerman Gamblers",2016,"BLadderFirstPlace",0,"BLadderTop5",0
"18","Cutchogue Panthers",2016,"BLadderFirstPlace",0,"BLadderTop5",0
"19","Lindenhurst Snails",2016,"BLadderFirstPlace",0,"BLadderTop5",12
"20","Main-Transit Slo Pokes",2016,"BLadderFirstPlace",0,"BLadderTop5",0
"21","North Lindenhurst Piston Knockers",2016,"BLadderFirstPlace",49.6666666666667,"BLadderTop5",82.6666666666667
"22","Riverhead Ironmen",2016,"BLadderFirstPlace",0,"BLadderTop5",0.666666666666667
"23","Copiague Yellowbirds",2016,"BLadderFirstPlace",0,"BLadderTop5",0
"24","Selden Slowpokes",2016,"BLadderFirstPlace",0,"BLadderTop5",0.333333333333333
"25","Spencerport Red Onions",2016,"BLadderFirstPlace",0,"BLadderTop5",0
"26","Sheridan Park All Thumbs",2016,"BLadderFirstPlace",0,"BLadderTop5",0
"27","Roslyn Highlanders",2016,"BLadderFirstPlace",0,"BLadderTop5",0.333333333333333
"28","Westbury Turtles",2016,"BLadderFirstPlace",0,"BLadderTop5",1
"29","Carle Place Frogs",2016,"BLadderFirstPlace",0,"BLadderTop5",0.333333333333333
"30","Hicksville Hicks",2016,"BLadderFirstPlace",0,"BLadderTop5",57
"31","North Merrick",2016,"BLadderFirstPlace",0,"BLadderTop5",0.333333333333333
"32","Port Washington Road Runners",2016,"BLadderFirstPlace",8.33333333333333,"BLadderTop5",43.6666666666667
"33","North Bellmore Rinky Dinks",2016,"BLadderFirstPlace",0,"BLadderTop5",1
"34","West Hempstead Westerners",2016,"BLadderFirstPlace",1.66666666666667,"BLadderTop5",84.6666666666667
"35","Manhasset-Lakeville Minute Men",2016,"BLadderFirstPlace",0,"BLadderTop5",0.333333333333333
"36","Rockville Centre Woodlanders",2016,"BLadderFirstPlace",0,"BLadderTop5",0.333333333333333
"37","Levittown Rebels",2016,"BLadderFirstPlace",0,"BLadderTop5",0.333333333333333
"38","Oyster Bay Teddy's Boys",2016,"BLadderFirstPlace",0,"BLadderTop5",6.66666666666667
"39","Merrick Buckeyes",2016,"BLadderFirstPlace",0,"BLadderTop5",0.333333333333333
"40","New Hyde Park Termites",2016,"BLadderFirstPlace",0,"BLadderTop5",1.33333333333333
"41","Clayton Calumets",2016,"BLadderFirstPlace",0,"BLadderTop5",0
"42","Brentwood Tigers",2016,"BLadderFirstPlace",0,"BLadderTop5",0
"43","Farmingville Bandits",2016,"BLadderFirstPlace",0,"BLadderTop5",0.333333333333333
"44","Elsmere Wanderers",2016,"BLadderFirstPlace",0,"BLadderTop5",1
"45","East Islip Guzzlers",2016,"BLadderFirstPlace",0,"BLadderTop5",0
"46","Baldwin Tomcats",2016,"BLadderFirstPlace",0,"BLadderTop5",0
"47","Henrietta Ol' Henries",2016,"CLadderFirstPlace",0,"CLadderTop5",5.66666666666667
"48","Point Pleasant Pea Pickers",2016,"CLadderFirstPlace",0,"CLadderTop5",20
"49","Sayville Blue Jays",2016,"CLadderFirstPlace",0,"CLadderTop5",1
"50","Sea Breeze Indians",2016,"CLadderFirstPlace",0,"CLadderTop5",4
"51","Copenhagen Cubs",2016,"CLadderFirstPlace",0,"CLadderTop5",0.666666666666667
"52","Great Bend Cobras",2016,"CLadderFirstPlace",0,"CLadderTop5",1
"53","West Carthage Hornets",2016,"CLadderFirstPlace",0,"CLadderTop5",0
"54","Carthage Nighthawks",2016,"CLadderFirstPlace",0,"CLadderTop5",0
"55","Louisville Turtles",2016,"CLadderFirstPlace",0,"CLadderTop5",1
"56","Islip Wolves",2016,"CLadderFirstPlace",32.3333333333333,"CLadderTop5",57.6666666666667
"57","Bay Shore Redskins",2016,"CLadderFirstPlace",0.666666666666667,"CLadderTop5",11.6666666666667
"58","Deer Park Bucks",2016,"CLadderFirstPlace",0,"CLadderTop5",0.333333333333333
"59","East Farmingdale Hares",2016,"CLadderFirstPlace",0,"CLadderTop5",1
"60","West Sayville Flying Dutchmen",2016,"CLadderFirstPlace",26.3333333333333,"CLadderTop5",66.6666666666667
"61","North Greece Lil Squirts",2016,"CLadderFirstPlace",0,"CLadderTop5",0.666666666666667
"62","Central Islip Hoboes",2016,"CLadderFirstPlace",12,"CLadderTop5",62
"63","Hagerman Gamblers",2016,"CLadderFirstPlace",0,"CLadderTop5",0
"64","Cutchogue Panthers",2016,"CLadderFirstPlace",0,"CLadderTop5",0
"65","Lindenhurst Snails",2016,"CLadderFirstPlace",0,"CLadderTop5",10.6666666666667
"66","Main-Transit Slo Pokes",2016,"CLadderFirstPlace",0,"CLadderTop5",0.666666666666667
"67","North Lindenhurst Piston Knockers",2016,"CLadderFirstPlace",5.33333333333333,"CLadderTop5",73.6666666666667
"68","Riverhead Ironmen",2016,"CLadderFirstPlace",0,"CLadderTop5",1.33333333333333
"69","Copiague Yellowbirds",2016,"CLadderFirstPlace",0,"CLadderTop5",7.66666666666667
"70","Selden Slowpokes",2016,"CLadderFirstPlace",0,"CLadderTop5",0.333333333333333
"71","Spencerport Red Onions",2016,"CLadderFirstPlace",0,"CLadderTop5",0
"72","Sheridan Park All Thumbs",2016,"CLadderFirstPlace",0,"CLadderTop5",0
"73","Roslyn Highlanders",2016,"CLadderFirstPlace",0,"CLadderTop5",0.666666666666667
"74","Westbury Turtles",2016,"CLadderFirstPlace",0,"CLadderTop5",0
"75","Carle Place Frogs",2016,"CLadderFirstPlace",0,"CLadderTop5",1
"76","Hicksville Hicks",2016,"CLadderFirstPlace",0,"CLadderTop5",0.333333333333333
"77","North Merrick",2016,"CLadderFirstPlace",0,"CLadderTop5",0
"78","Port Washington Road Runners",2016,"CLadderFirstPlace",9.33333333333333,"CLadderTop5",65
