,Location,TimeContest,TrackContAvg,ContestAvg,TrackAdj,key
1,Central Islip,B Hose,7.993421053,7.921237942,-0.072183111,Central Islip B Hose
2,Central Islip,B Ladder,5.117350427,5.166457327,0.0491069,Central Islip B Ladder
3,Central Islip,Buckets,21.34104348,21.40547967,0.064436197,Central Islip Buckets
4,Central Islip,C Hose,12.59922414,12.57835484,-0.020869299,Central Islip C Hose
5,Central Islip,C Ladder,8.937719298,8.98197411,0.044254812,Central Islip C Ladder
6,Central Islip,Combination Hose & Pump ,17.25294118,17.25294118,0,Central Islip Combination Hose & Pump 
7,Central Islip,Efficiency,9.209663866,9.103090615,-0.106573251,Central Islip Efficiency
8,Central Islip,Efficiency Replacement ,29.84352941,29.84352941,0,Central Islip Efficiency Replacement 
9,Central Islip,Individual Ladder,5.074761905,5.074761905,0,Central Islip Individual Ladder
10,Central Islip,Motor H&L Dummy ,21.71,21.71,0,Central Islip Motor H&L Dummy 
11,Central Islip,Motor Hose Replacement ,20.57052632,20.57052632,0,Central Islip Motor Hose Replacement 
12,Central Islip,Motor Pump,5.985,6.167580645,0.182580645,Central Islip Motor Pump
13,Central Islip,Three Man Ladder,6.293983051,6.362211538,0.068228488,Central Islip Three Man Ladder
14,Denton Avenue,B Hose,7.9025,7.921237942,0.018737942,Denton Avenue B Hose
15,Denton Avenue,B Ladder,5.181428571,5.166457327,-0.014971245,Denton Avenue B Ladder
16,Denton Avenue,Buckets,22.2355,21.40547967,-0.830020325,Denton Avenue Buckets
17,Denton Avenue,C Hose,12.62,12.57835484,-0.041645161,Denton Avenue C Hose
18,Denton Avenue,C Ladder,9.0355,8.98197411,-0.05352589,Denton Avenue C Ladder
19,Denton Avenue,Efficiency,8.892,9.103090615,0.211090615,Denton Avenue Efficiency
20,Denton Avenue,Motor Pump,6.402857143,6.167580645,-0.235276498,Denton Avenue Motor Pump
21,Denton Avenue,Three Man Ladder,6.487,6.362211538,-0.124788462,Denton Avenue Three Man Ladder
22,Hagerman,B Hose,7.851818182,7.921237942,0.06941976,Hagerman B Hose
23,Hagerman,B Ladder,5.179677419,5.166457327,-0.013220092,Hagerman B Ladder
24,Hagerman,Buckets,21.26114754,21.40547967,0.144332134,Hagerman Buckets
25,Hagerman,C Hose,12.57612903,12.57835484,0.002225806,Hagerman C Hose
26,Hagerman,C Ladder,8.961774194,8.98197411,0.020199916,Hagerman C Ladder
27,Hagerman,Efficiency,9.220327869,9.103090615,-0.117237254,Hagerman Efficiency
28,Hagerman,Motor Pump,6.014126984,6.167580645,0.153453661,Hagerman Motor Pump
29,Hagerman,Three Man Ladder,6.319508197,6.362211538,0.042703342,Hagerman Three Man Ladder
30,Hempstead,B Hose,7.816621622,7.921237942,0.104616321,Hempstead B Hose
31,Hempstead,B Ladder,5.167972973,5.166457327,-0.001515646,Hempstead B Ladder
32,Hempstead,Buckets,21.11843537,21.40547967,0.287044301,Hempstead Buckets
33,Hempstead,C Hose,12.4175,12.57835484,0.160854839,Hempstead C Hose
