id,team_id,parent_id,number,event_id,rank,performance,bonus_points,comment,checked_out,checked_out_time
76,41,68,NULL,1,13,"7.83	",0,,0,3/16/2012 7:28
188,86,49,NULL,8,11,9.09,0,NULL,0,0000-00-00 00:00:00
117,3,1,NULL,4,0,,0,NULL,0,0000-00-00 00:00:00
192,100,76,NULL,8,0,OT,0,NULL,0,0000-00-00 00:00:00
101,20,18,NULL,3,0,"6.89	",0,,0,0000-00-00 00:00:00
100,91,54,NULL,3,0,5.9,0,,0,0000-00-00 00:00:00
99,86,49,NULL,3,0,6.43,0,,0,0000-00-00 00:00:00
116,13,8,NULL,3,0,7.62,0,,0,0000-00-00 00:00:00
81,89,52,NULL,1,20,9.06,0,,0,0000-00-00 00:00:00
115,110,61,NULL,3,0,5.56,0,,0,0000-00-00 00:00:00
114,3,1,NULL,3,0,NT,0,,0,0000-00-00 00:00:00
102,100,76,NULL,3,0,5.91,0,,0,0000-00-00 00:00:00
98,41,68,NULL,3,0,"6.12	",0,,0,0000-00-00 00:00:00
118,12,6,NULL,4,0,,0,NULL,0,0000-00-00 00:00:00
113,74,36,NULL,3,0,8.36,0,,0,0000-00-00 00:00:00
120,20,18,NULL,4,0,,0,NULL,0,0000-00-00 00:00:00
80,100,76,NULL,1,9,7.36,0,,0,0000-00-00 00:00:00
112,75,37,NULL,3,0,"5.43	",0,,0,0000-00-00 00:00:00
111,109,62,NULL,3,0,OT,0,,0,0000-00-00 00:00:00
110,101,75,NULL,3,0,NT,0,,0,0000-00-00 00:00:00
109,73,35,NULL,3,0,6.08,0,,0,0000-00-00 00:00:00
108,107,64,NULL,3,0,OT,0,,0,0000-00-00 00:00:00
97,91,54,NULL,1,4,6.76,0,,0,0000-00-00 00:00:00
96,111,60,NULL,1,10,7.59,0,,0,0000-00-00 00:00:00
95,13,8,NULL,1,12,7.81,0,,0,0000-00-00 00:00:00
94,110,61,NULL,1,3,6.5,0,,0,0000-00-00 00:00:00
93,3,1,NULL,1,1,6.36,0,,0,0000-00-00 00:00:00
92,74,36,NULL,1,16,"8.41	",0,,0,0000-00-00 00:00:00
91,75,37,NULL,1,8,7.3,0,,0,0000-00-00 00:00:00
90,109,62,NULL,1,18,8.79,0,,0,0000-00-00 00:00:00
89,101,75,NULL,1,7,7.04,0,,0,0000-00-00 00:00:00
88,33,23,NULL,1,17,8.6,0,,0,0000-00-00 00:00:00
87,73,35,NULL,1,14,8.08,0,,0,0000-00-00 00:00:00
79,20,18,NULL,1,6,"6.93	",0,,0,0000-00-00 00:00:00
78,86,49,NULL,1,15,8.21,0,,0,0000-00-00 00:00:00
77,30,21,NULL,1,19,8.99,0,,0,0000-00-00 00:00:00
86,107,64,NULL,1,0,NT,0,,0,0000-00-00 00:00:00
85,102,74,NULL,1,0,OT,0,,0,0000-00-00 00:00:00
84,45,71,NULL,1,5,6.81,0,,0,0000-00-00 00:00:00
83,104,72,NULL,1,11,7.7,0,,0,0000-00-00 00:00:00
82,49,92,NULL,1,2,"6.47	",0,,0,0000-00-00 00:00:00
107,102,74,NULL,3,0,6.66,0,,0,0000-00-00 00:00:00
106,45,71,NULL,3,0,7.59,0,,0,0000-00-00 00:00:00
105,104,72,NULL,3,0,7.84,0,,0,0000-00-00 00:00:00
104,49,92,NULL,3,0,5.1,0,,0,0000-00-00 00:00:00
103,89,52,NULL,3,0,NT,0,,0,0000-00-00 00:00:00
121,49,92,NULL,4,0,,0,NULL,0,0000-00-00 00:00:00
122,30,21,NULL,4,0,,0,NULL,0,0000-00-00 00:00:00
123,33,23,NULL,4,0,,0,NULL,0,0000-00-00 00:00:00
124,37,66,NULL,4,0,,0,NULL,0,0000-00-00 00:00:00
126,41,68,NULL,4,0,,0,NULL,0,0000-00-00 00:00:00
127,45,71,NULL,4,0,,0,NULL,0,0000-00-00 00:00:00
128,47,77,NULL,4,0,,0,NULL,0,0000-00-00 00:00:00
129,73,35,NULL,4,0,,0,NULL,0,0000-00-00 00:00:00
130,85,48,NULL,4,0,,0,NULL,0,0000-00-00 00:00:00
131,89,52,NULL,4,0,,0,NULL,0,0000-00-00 00:00:00
132,91,54,NULL,4,0,,0,NULL,0,0000-00-00 00:00:00
133,97,59,NULL,4,0,,0,NULL,0,0000-00-00 00:00:00
134,99,78,NULL,4,0,,0,NULL,0,0000-00-00 00:00:00
135,100,76,NULL,4,0,,0,NULL,0,0000-00-00 00:00:00
136,101,75,NULL,4,0,,0,NULL,0,0000-00-00 00:00:00
137,102,74,NULL,4,0,,0,NULL,0,0000-00-00 00:00:00
138,104,72,NULL,4,0,,0,NULL,0,0000-00-00 00:00:00
139,107,64,NULL,4,0,,0,NULL,0,0000-00-00 00:00:00
140,108,63,NULL,4,0,,0,NULL,0,0000-00-00 00:00:00
141,109,62,NULL,4,0,,0,NULL,0,0000-00-00 00:00:00
