id,club_id,name,alias,short_name,acronym,picture,picture_small,description,admin_id,checked_out,checked_out_time
1,0,Central Islip Hoboes,Central Islip Hoboes,Hoboes,SUFF,hoboes_1332284214.gif,,,0,0,0000-00-00 00:00:00
2,0,East Norwich Spooks,East Norwich Spooks,Spooks,NASS,,,,0,0,0000-00-00 00:00:00
3,0,East Rockaway Cold Ducks,East Rockaway Cold Ducks,Cold Ducks,NASS,cold-ducks_1332283721.jpg,,"<p> </p>
<p style=""margin: 0.0px 0.0px 12.0px 0.0px; line-height: 15.0px; font: 12.0px Helvetica; color: #333333;"">The East Rockaway Fire Department has provided Fire, Rescue and Emergency services for the residents and business owners in East Rockaway since 1893. We are the oldest organization within the Village. The Fire Department is made up of many of your neighbors, friends and relatives. These dedicated individuals volunteer their time 24 hours per day / 365 days a year, there are NO holidays for the Fire Service. Our Department provides Fire / Rescue, Emergency Medical and Water Rescue Services to the residents of the Village of East Rockaway, Bay Park, Angle Sea and other surrounding fire districts.</p>
<p> </p>",0,0,0000-00-00 00:00:00
4,0,Bellmore Ballbreakers,bellmore-ballbreakers,,NASS,bellmore2_1331803867.jpg,bellmore2_1331803867.jpg,,0,0,0000-00-00 00:00:00
5,0,Carle Place Frogs,Carle Place Frogs,,NASS,frogs_1332284110.gif,,,0,0,0000-00-00 00:00:00
6,0,Bay Shore Redskins,bay-shore-redskins,,SUFF,redskins_1332284242.gif,,,0,0,0000-00-00 00:00:00
7,0,Babylon Scroungers,babylon-scroungers,,SUFF,scroungers_1332284279.jpg,,,0,0,0000-00-00 00:00:00
8,0,Brentwood Tigers,brentwood-tigers,,SUFF,,,,0,0,0000-00-00 00:00:00
9,0,Albion Fireflies,albion-fireflies,,WNY,albion_1332284353.jpg,,,0,0,0000-00-00 00:00:00
10,0,North Greece Lil Squirts,north-greece-lil-squirts,,WNY,lilsquirts_1332284381.gif,,,0,0,0000-00-00 00:00:00
11,0,Sea Breeze Indians,sea-breeze-indians,,WNY,,,,0,0,0000-00-00 00:00:00
12,0,Main-Transit,main-transit,,WNY,mtfd_main_1331882255.jpg,,"<h4><span style=""font-weight: normal;"">The Slo-Pokes are comprised of active members of the Main-Transit Fire Department that compete in Firematic Competitions throughout the state. Events include both motorized and foot races, which utilize many facets of everyday firefighting skills. The Slo-Pokes are an integral part of Main-Transit, as the members develop unity, dedication, skill among themselves, and pride within the department. Spectators are welcome to any and all tournaments held throughout the state. To see video clips of actual races, you may want to visit the</span> <a href=""http://www.youtube.com/user/AZipp161"" target=""_blank"" title=""Slo-Pokes Youtube Page"">Slo-Pokes Youtube Page</a>.</h4>
<h4><strong>Slo-Pokes 2013 Tournament Schedule</strong><br /> --------------------------------------------<br /><span style=""font-weight: normal;"">6/22 Sheridan Park Tournament at Point Pleasant, Saturday 1:00pm<br />6/29 North Greece Tournament, Saturday - 1:00pm<br />7/3 Joe Hunter Memorial at Hempstead, Wednesday - 6:00pm</span><br /><strong>7/19 Main-Trainsit Tournament, Friday - 6:30pm</strong><br /><span style=""font-weight: normal;"">8/3 Spencerport Tournament, Saturday - 1:00pm<br />8/10 NYS Old Fashioned Drill at Spencerport, Satuday - 12:00pm<br />8/17 NYS Drill at Hempstead, Saturday - 8:00am<br />8/24 Point Pleasant 12:00pm</span></h4>
<h4><span style=""line-height: 1.3em;"">Keep up with our Twitter feed: @Slo_pokes<br /></span></h4>
<h4>Or</h4>
<h4>Our <a href=""https://www.facebook.com/groups/2205202474/"" target=""_blank"" title=""Slo-Pokes Facebook Group"">Slo-Pokes Facebook Group</a></h4>",0,0,0000-00-00 00:00:00
13,0,Clayton Calumets,clayton-calumets,,NNY,calumets_1332284461.jpg,,,0,0,0000-00-00 00:00:00
14,0,Delmar Boosters,delmar-boosters,,NNY,,,,0,0,0000-00-00 00:00:00
15,0,Deerfield Hosebusters,deerfield-hosebusters,,NNY,,,,0,0,0000-00-00 00:00:00
18,0,Islip Wolves,islip-wolves,,SUFF,,,,0,0,0000-00-00 00:00:00
19,0,Westbury Turtles,westbury-turtles,,NASS,,,,0,0,3/12/2012 1:00
21,0,Islip Terrace Schlagers,islip-terrace-schlagers,,SUFF,,,,0,0,0000-00-00 00:00:00
22,0,Louisville Turtles,louisville-turtles,,NNY,,,,0,0,0000-00-00 00:00:00
23,0,Hagerman Gamblers,hagerman-gamblers,,SUFF,,,,0,0,3/14/2012 14:50
24,0,Baldwin Tomcats,baldwin-tomcats,,NASS,,,,0,0,0000-00-00 00:00:00
25,0,East Meadow Meadowlarks,east-meadow-meadowlarks,,NASS,,,,0,0,3/14/2012 15:10
26,0,Elmont Bangtails,elmont-bangtails,,NASS,,,,0,0,3/14/2012 15:11
27,0,Floral Park Doodlebugs,floral-park-doodlebugs,,NASS,,,,0,0,3/14/2012 15:11
29,0,Franklin Square Square Shooters,franklin-square-square-shooters,,NASS,,,,0,0,3/14/2012 15:14
30,0,Freeport Clamdiggers,freeport-clamdiggers,,NASS,,,,0,0,3/14/2012 15:15
