id,name,alias,division_id,year_id,admin_id,type,params,ordering,checked_out,checked_out_time,published
1,2011 Nassau-Suffolk Championships,2011-nassau-suffolk-championships,1,1,62,0,"auto_time=1440
project_type=0
shownumber=0
showteams=1

",7,0,0000-00-00 00:00:00,0
2,2011 Old-Fashioned Drills,2011-old-fashioned-drills,2,1,62,0,"auto_time=1440
project_type=0
shownumber=1
showteams=1

",8,0,0000-00-00 00:00:00,0
3,2011 Western NY Championships,2011-western-ny-championships,3,1,62,0,"auto_time=1440
project_type=0
shownumber=1
showteams=1

",9,0,0000-00-00 00:00:00,0
4,2011 Northern NY Championships,2011-northern-ny-championships,4,1,62,0,"auto_time=1440
project_type=0
shownumber=1
showteams=1

",10,0,0000-00-00 00:00:00,0
5,2011 Parade Drills,2011-parade-drills,6,1,62,0,"auto_time=1440
project_type=0
shownumber=1
showteams=1

",11,0,0000-00-00 00:00:00,0
6,2011 Junior Drills,2011-junior-drills,5,1,62,0,"auto_time=1440
project_type=0
shownumber=1
showteams=1

",12,0,0000-00-00 00:00:00,0
7,2010 Nassau-Suffolk Championships,2010-nassau-suffolk-championships,1,3,62,0,"auto_time=1440
project_type=0
shownumber=1
showteams=1

",14,0,0000-00-00 00:00:00,0
8,2012 Suffolk Championship,2012-suffolk-championship,1,2,62,0,"auto_time=1440
project_type=0
shownumber=1
showteams=1

",1,0,0000-00-00 00:00:00,0
9,2012 Old Fashioned Championship,2012-old-fashioned-championship,2,2,62,0,"auto_time=1440
project_type=0
shownumber=1
showteams=1

",1,0,0000-00-00 00:00:00,0
10,2012 Western NY Championship,2012-western-ny-championship,3,2,62,0,"auto_time=1440
project_type=0
shownumber=1
showteams=1

",3,0,0000-00-00 00:00:00,0
11,2012 Northern NY Championship,2012-northern-ny-championship,4,2,62,0,"auto_time=1440
project_type=0
shownumber=1
showteams=1

",4,0,0000-00-00 00:00:00,0
12,2012 Parade Championship,2012-parade-championship,6,2,62,0,"auto_time=1440
project_type=0
shownumber=1
showteams=1

",5,0,0000-00-00 00:00:00,0
13,2012 Junior Championship,2012-junior-championship,5,2,62,0,"auto_time=1440
project_type=0
shownumber=1
showteams=1

",7,0,0000-00-00 00:00:00,0
14,2012 Nassau Championship,2012-nassau-championship,1,2,62,0,"auto_time=1440
project_type=0
shownumber=1
showteams=1

",1,0,0000-00-00 00:00:00,0
15,2012 Exhibition,2012-exhibition,7,2,62,0,"auto_time=1440
project_type=0
shownumber=1
showteams=1

",6,0,0000-00-00 00:00:00,0
16,2013 Suffolk,2013-suffolk,1,5,62,0,"auto_time=1440
project_type=0
shownumber=1
showteams=1

",1,0,0000-00-00 00:00:00,1
17,2013 Nassau,2013-nassau,1,5,62,0,"auto_time=1440
project_type=0
shownumber=1
showteams=1

",2,0,0000-00-00 00:00:00,1
18,2013 Western NY,2013-western-ny-championship-,3,5,62,0,"auto_time=1440
project_type=0
shownumber=1
showteams=1

",3,0,0000-00-00 00:00:00,1
19,2013 Northern NY,2013-northern-ny,4,5,62,0,"auto_time=1440
project_type=0
shownumber=1
showteams=1

",4,0,0000-00-00 00:00:00,1
20,2013 Old Fashioned,2013-old-fashioned,2,5,62,0,"auto_time=1440
project_type=0
shownumber=1
showteams=1

",5,0,0000-00-00 00:00:00,1
21,2013 Junior,2013-junior,5,5,62,0,"auto_time=1440
project_type=0
shownumber=1
showteams=1

",7,0,0000-00-00 00:00:00,1
23,2013 Exhibition,2013-exhibition,7,5,167,0,"auto_time=1440
project_type=0
shownumber=1
showteams=1

",6,0,5/20/2013 22:05,1
