id,seasondrill_id,type,ordering,start_date,end_date,description,comment,checked_out,checked_out_time,published
1,1,1,1,6/6/2011 6:29,0000-00-00 00:00:00,,,0,0000-00-00 00:00:00,1
8,1,5,1,0000-00-00 00:00:00,0000-00-00 00:00:00,,,0,0000-00-00 00:00:00,1
3,1,2,1,6/6/2011 2:29,0000-00-00 00:00:00,,,0,0000-00-00 00:00:00,1
4,3,1,1,6/5/2010 6:16,6/5/2010 6:16,,,0,3/16/2012 10:19,1
5,3,2,1,6/5/2010 6:16,6/5/2010 6:16,,,0,3/16/2012 10:30,1
6,4,10,1,9/17/2011 8:09,9/17/2011 8:09,,,0,0000-00-00 00:00:00,1
7,4,9,1,9/17/2011 8:19,9/17/2011 8:19,,,0,3/16/2012 12:20,1
10,4,11,6,0000-00-00 00:00:00,0000-00-00 00:00:00,,,0,3/21/2012 4:19,1
12,8,1,1,6/2/2012 15:36,6/2/2012 15:36,,,0,0000-00-00 00:00:00,1
13,8,29,15,0000-00-00 00:00:00,0000-00-00 00:00:00,,,0,0000-00-00 00:00:00,1
14,8,2,8,0000-00-00 00:00:00,0000-00-00 00:00:00,,,0,0000-00-00 00:00:00,1
15,8,3,11,0000-00-00 00:00:00,0000-00-00 00:00:00,,,0,6/4/2012 5:42,1
16,8,4,14,0000-00-00 00:00:00,0000-00-00 00:00:00,,,0,6/4/2012 5:42,1
17,8,6,16,0000-00-00 00:00:00,0000-00-00 00:00:00,,,0,6/4/2012 5:43,1
18,8,7,17,0000-00-00 00:00:00,0000-00-00 00:00:00,,,0,6/4/2012 5:43,1
19,8,8,18,0000-00-00 00:00:00,0000-00-00 00:00:00,,,0,6/4/2012 5:43,1
28,10,1,27,0000-00-00 00:00:00,0000-00-00 00:00:00,,,0,6/4/2012 5:51,1
29,10,2,28,0000-00-00 00:00:00,0000-00-00 00:00:00,,,0,6/4/2012 5:51,1
30,10,35,29,0000-00-00 00:00:00,0000-00-00 00:00:00,,,0,0000-00-00 00:00:00,1
31,10,4,30,0000-00-00 00:00:00,0000-00-00 00:00:00,,,0,6/4/2012 5:51,1
32,10,5,31,0000-00-00 00:00:00,0000-00-00 00:00:00,,,0,6/4/2012 5:51,1
33,10,6,32,0000-00-00 00:00:00,0000-00-00 00:00:00,,,0,6/4/2012 5:51,1
34,10,36,33,0000-00-00 00:00:00,0000-00-00 00:00:00,,,0,0000-00-00 00:00:00,1
35,10,8,34,0000-00-00 00:00:00,0000-00-00 00:00:00,,,0,6/4/2012 5:52,1
496,82,1,447,0000-00-00 00:00:00,0000-00-00 00:00:00,,,0,8/26/2012 23:24,1
495,81,8,446,0000-00-00 00:00:00,0000-00-00 00:00:00,,,0,8/26/2012 23:13,1
494,81,7,445,0000-00-00 00:00:00,0000-00-00 00:00:00,,,0,8/26/2012 23:12,1
