id,team_id,season_id,parentteam_id,number,initial_points,checked_out,checked_out_time
1,3,1,1,0,0,0,0000-00-00 00:00:00
113,3,7,1,,0,0,0000-00-00 00:00:00
3,2,1,3,0,0,0,0000-00-00 00:00:00
6,5,1,4,,0,0,0000-00-00 00:00:00
18,8,5,4,,0,0,0000-00-00 00:00:00
9,6,1,5,,0,0,0000-00-00 00:00:00
19,7,2,4,,0,0,0000-00-00 00:00:00
11,28,1,19,,0,0,0000-00-00 00:00:00
12,9,3,9,,0,0,0000-00-00 00:00:00
114,12,7,6,,0,0,0000-00-00 00:00:00
20,14,6,1,,0,0,0000-00-00 00:00:00
15,12,1,6,,0,0,0000-00-00 00:00:00
16,13,1,8,,0,0,0000-00-00 00:00:00
17,11,6,6,,0,0,0000-00-00 00:00:00
24,15,4,13,,0,0,0000-00-00 00:00:00
22,16,5,13,,0,0,0000-00-00 00:00:00
23,17,4,15,,0,0,0000-00-00 00:00:00
25,18,4,14,,0,0,0000-00-00 00:00:00
26,19,6,18,,0,0,0000-00-00 00:00:00
27,20,1,18,,0,0,0000-00-00 00:00:00
39,32,4,22,,0,0,0000-00-00 00:00:00
29,22,5,12,,0,0,0000-00-00 00:00:00
30,23,6,12,,0,0,0000-00-00 00:00:00
31,24,3,12,,0,0,0000-00-00 00:00:00
32,25,3,10,,0,0,0000-00-00 00:00:00
33,26,3,11,,0,0,0000-00-00 00:00:00
34,27,2,19,,0,0,0000-00-00 00:00:00
37,30,1,21,,0,0,0000-00-00 00:00:00
38,31,6,21,,0,0,0000-00-00 00:00:00
40,33,1,23,,0,0,0000-00-00 00:00:00
41,34,6,23,,0,0,0000-00-00 00:00:00
42,37,1,66,,0,0,0000-00-00 00:00:00
43,36,6,66,,0,0,0000-00-00 00:00:00
44,39,1,65,,0,0,0000-00-00 00:00:00
45,38,6,65,,0,0,0000-00-00 00:00:00
46,40,6,68,,0,0,0000-00-00 00:00:00
47,41,1,68,,0,0,0000-00-00 00:00:00
48,42,6,69,,0,0,0000-00-00 00:00:00
49,43,1,69,,0,0,0000-00-00 00:00:00
50,44,6,71,,0,0,0000-00-00 00:00:00
51,45,1,71,,0,0,0000-00-00 00:00:00
52,46,6,77,,0,0,0000-00-00 00:00:00
53,47,1,77,,0,0,0000-00-00 00:00:00
55,49,1,92,,0,0,0000-00-00 00:00:00
56,50,6,92,,0,0,0000-00-00 00:00:00
57,52,4,85,,0,0,0000-00-00 00:00:00
58,55,4,87,,0,0,0000-00-00 00:00:00
59,56,4,88,,0,0,0000-00-00 00:00:00
60,57,4,89,,0,0,0000-00-00 00:00:00
61,58,4,90,,0,0,0000-00-00 00:00:00
62,60,3,82,,0,0,0000-00-00 00:00:00
63,61,3,83,,0,0,0000-00-00 00:00:00
64,62,3,84,,0,0,0000-00-00 00:00:00
65,63,1,24,,0,0,0000-00-00 00:00:00
66,64,1,25,,0,0,0000-00-00 00:00:00
67,65,1,26,,0,0,0000-00-00 00:00:00
68,66,1,27,,0,0,0000-00-00 00:00:00
69,67,1,29,,0,0,0000-00-00 00:00:00
70,68,1,30,,0,0,0000-00-00 00:00:00
71,69,1,31,,0,0,0000-00-00 00:00:00
72,70,1,32,,0,0,0000-00-00 00:00:00
73,71,1,33,,0,0,0000-00-00 00:00:00
74,72,1,34,,0,0,0000-00-00 00:00:00
75,73,1,35,,0,0,0000-00-00 00:00:00
76,74,1,36,,0,0,0000-00-00 00:00:00
77,75,1,37,,0,0,0000-00-00 00:00:00
78,76,1,38,,0,0,0000-00-00 00:00:00
79,77,1,39,,0,0,0000-00-00 00:00:00
80,78,1,40,,0,0,0000-00-00 00:00:00
81,79,1,41,,0,0,0000-00-00 00:00:00
82,80,1,42,,0,0,0000-00-00 00:00:00
83,81,1,43,,0,0,0000-00-00 00:00:00
84,82,1,44,,0,0,0000-00-00 00:00:00
85,83,1,45,,0,0,0000-00-00 00:00:00
86,84,1,46,,0,0,0000-00-00 00:00:00
87,85,1,48,,0,0,0000-00-00 00:00:00
88,86,1,49,,0,0,0000-00-00 00:00:00
89,87,1,50,,0,0,0000-00-00 00:00:00
90,88,1,51,,0,0,0000-00-00 00:00:00
91,89,1,52,,0,0,0000-00-00 00:00:00
92,90,1,53,,0,0,0000-00-00 00:00:00
93,91,1,54,,0,0,0000-00-00 00:00:00
94,92,1,55,,0,0,0000-00-00 00:00:00
95,93,1,56,,0,0,0000-00-00 00:00:00
96,94,1,57,,0,0,0000-00-00 00:00:00
97,95,1,58,,0,0,0000-00-00 00:00:00
98,97,1,59,,0,0,0000-00-00 00:00:00
99,98,1,80,,0,0,0000-00-00 00:00:00
100,99,1,78,,0,0,0000-00-00 00:00:00
101,100,1,76,,0,0,0000-00-00 00:00:00
102,101,1,75,,0,0,0000-00-00 00:00:00
103,102,1,74,,0,0,0000-00-00 00:00:00
104,103,1,73,,0,0,0000-00-00 00:00:00
105,104,1,72,,0,0,0000-00-00 00:00:00
106,105,1,70,,0,0,0000-00-00 00:00:00
107,106,1,67,,0,0,0000-00-00 00:00:00
108,107,1,64,,0,0,0000-00-00 00:00:00
109,108,1,63,,0,0,0000-00-00 00:00:00
110,109,1,62,,0,0,0000-00-00 00:00:00
111,110,1,61,,0,0,0000-00-00 00:00:00
112,111,1,60,,0,0,0000-00-00 00:00:00
115,13,7,8,,0,0,0000-00-00 00:00:00
116,20,7,18,,0,0,0000-00-00 00:00:00
117,49,7,92,,0,0,0000-00-00 00:00:00
118,30,7,21,,0,0,0000-00-00 00:00:00
119,33,7,23,,0,0,0000-00-00 00:00:00
120,37,7,66,,0,0,0000-00-00 00:00:00
121,39,7,65,,0,0,0000-00-00 00:00:00
122,41,7,68,,0,0,0000-00-00 00:00:00
123,45,7,71,,0,0,0000-00-00 00:00:00
124,47,7,77,,0,0,0000-00-00 00:00:00
125,73,7,35,,0,0,0000-00-00 00:00:00
126,85,7,48,,0,0,0000-00-00 00:00:00
127,89,7,52,,0,0,0000-00-00 00:00:00
128,91,7,54,,0,0,0000-00-00 00:00:00
129,97,7,59,,0,0,0000-00-00 00:00:00
130,99,7,78,,0,0,0000-00-00 00:00:00
131,100,7,76,,0,0,0000-00-00 00:00:00
132,101,7,75,,0,0,0000-00-00 00:00:00
133,102,7,74,,0,0,0000-00-00 00:00:00
134,104,7,72,,0,0,0000-00-00 00:00:00
135,107,7,64,,0,0,0000-00-00 00:00:00
136,108,7,63,,0,0,0000-00-00 00:00:00
137,109,7,62,,0,0,0000-00-00 00:00:00
138,110,7,61,,0,0,0000-00-00 00:00:00
