id,team_name,division,alias,nickname,hometown,user_id,picture,picture_small,address,postcode,city,state,description,checked_out,checked_out_time
1,East Norwich Spooks,Motorized,motorized-east-norwich-spooks,,East Norwich Fire Company #1,0,team_slug_1331813741.jpg,,900 Oyster Bay Road,11732,East Norwich,NY,"<p> </p>
<p style=""margin: 0.0px 0.0px 12.0px 0.0px; line-height: 15.0px; font: 12.0px Helvetica; color: #333333;""><em>(Login to edit your profile)</em></p>
<p> </p>",0,0000-00-00 00:00:00
2,East Rockaway Cold Ducks,Motorized,motorized-east-rockaway-cold-ducks,,East Rockaway Fire Department,63,team_slug_1331813741.jpg,cold-ducks_1332283801.jpg,PO Box 203 • 473 Atlantic Avenue ,11518-0203,East Rockaway,NY,"<p> </p>
<p style=""margin: 0.0px 0.0px 12.0px 0.0px; line-height: 15.0px; font: 12.0px Helvetica; color: #333333;""><em>(Login to edit your profile)</em></p>
<p> </p>",0,0000-00-00 00:00:00
3,Central Islip Hoboes,Motorized,motorized-central-islip-hoboes,,Central Islip Fire  Department,62,team_slug_1331813741.jpg,,97 Carleton Avenue,11722,Central Islip,NY,"<p> </p>
<p style=""margin: 0.0px 0.0px 12.0px 0.0px; line-height: 15.0px; font: 12.0px Helvetica; color: #333333;""><em>(Login to edit your profile)</em></p>
<p> </p>",0,0000-00-00 00:00:00
5,Bellmore Ballbreakers,Motorized,motorized-bellmore-ballbreakers,,,64,team_slug_1331813741.jpg,,,,,,<p><em>(Login to edit your profile)</em></p>,0,0000-00-00 00:00:00
6,Carle Place Frogs,Motorized,motorized-carle-place-frogs,,,62,team_slug_1331813741.jpg,,,,,,"<p> </p>
<p style=""margin: 0.0px 0.0px 12.0px 0.0px; line-height: 15.0px; font: 12.0px Helvetica; color: #333333;""><em>(Login to edit your profile)</em></p>
<p> </p>",0,0000-00-00 00:00:00
7,Bellmore Ballbreakers,Old-Fashioned,old-fashioned-bellmore-ballbreakers,,,64,team_slug_1331813741.jpg,,,,,,"<p> </p>
<p style=""margin: 0.0px 0.0px 12.0px 0.0px; line-height: 15.0px; font: 12.0px Helvetica; color: #333333;""><em>(Login to edit your profile)</em></p>
<p> </p>",0,0000-00-00 00:00:00
8,Bellmore Ballbreakers,Parade,#NAME?,,,64,team_slug_1331813741.jpg,,,,,,"<p> </p>
<p style=""margin: 0.0px 0.0px 12.0px 0.0px; line-height: 15.0px; font: 12.0px Helvetica; color: #333333;""><em>(Login to edit your profile)</em></p>
<p> </p>",0,0000-00-00 00:00:00
9,Albion Fireflies,Motorized,motorized-albion-fireflies,,,75,team_slug_1331813741.jpg,,,,,,"<p> </p>
<p style=""margin: 0.0px 0.0px 12.0px 0.0px; line-height: 15.0px; font: 12.0px Helvetica; color: #333333;""><em>(Login to edit your profile)</em></p>
<p> </p>",0,0000-00-00 00:00:00
10,Babylon Scroungers,Motorized,motorized-babylon-scroungers,,,69,team_slug_1331813741.jpg,,,,,,"<p> </p>
<p style=""margin: 0.0px 0.0px 12.0px 0.0px; line-height: 15.0px; font: 12.0px Helvetica; color: #333333;""><em>(Login to edit your profile)</em></p>
<p> </p>",0,0000-00-00 00:00:00
11,Bay Shore Jr. Redskins,Junior,junior-bay-shore-jr-redskins,,,80,team_slug_1331813741.jpg,,,,,,"<p> </p>
<p style=""margin: 0.0px 0.0px 12.0px 0.0px; line-height: 15.0px; font: 12.0px Helvetica; color: #333333;""><em>(Login to edit your profile)</em></p>
<p> </p>",0,0000-00-00 00:00:00
12,Bay Shore Redskins,Motorized,junior-bay-shore-redskins,,,80,team_slug_1331813741.jpg,,,,,,"<p>
	&nbsp;</p>
<p>
	&nbsp;</p>
<table border=""1"" cellpadding=""0"" cellspacing=""0"">
	<tbody>
		<tr>
			<td colspan=""4"" style=""width:638px;"">
				<p align=""center"">
					Team Records</p>
			</td>
		</tr>
		<tr>
			<td style=""width:159px;"">
				<p style=""text-align: center; "">
					Event</p>
			</td>
			<td style=""width:159px;"">
				<p style=""text-align: center; "">
					Time</p>
			</td>
			<td style=""width:159px;"">
				<p style=""text-align: center; "">
					Track</p>
			</td>
			<td style=""width:159px;"">
				<p style=""text-align: center; "">
					Date</p>
			</td>
		</tr>
		<tr>
			<td style=""width:159px;"">
				<p>
					&nbsp;</p>
			</td>
			<td style=""width:159px;"">
				<p>
					&nbsp;</p>
			</td>
			<td style=""width:159px;"">
				<p>
					&nbsp;</p>
			</td>
			<td style=""width:159px;"">
				<p>
					&nbsp;</p>
			</td>
		</tr>
		<tr>
			<td style=""width:159px;"">
				<p>
					&nbsp;</p>
			</td>
			<td style=""width:159px;"">
				<p>
					&nbsp;</p>
			</td>
			<td style=""width:159px;"">
				<p>
					&nbsp;</p>
			</td>
			<td style=""width:159px;"">
				<p>
					&nbsp;</p>
			</td>
		</tr>
		<tr>
			<td style=""width:159px;"">
				<p>
					&nbsp;</p>
			</td>
			<td style=""width:159px;"">
				<p>
					&nbsp;</p>
			</td>
			<td style=""width:159px;"">
				<p>
					&nbsp;</p>
			</td>
			<td style=""width:159px;"">
				<p>
					&nbsp;</p>
			</td>
		</tr>
	</tbody>
</table>
<p>
	&nbsp;</p>
<br />
<p>
	&nbsp;</p>",0,0000-00-00 00:00:00
13,Brentwood Tigers,Motorized,motorized-brentwood-tigers,,,70,team_slug_1331813741.jpg,,,,,,"<p> </p>
<p style=""margin: 0.0px 0.0px 12.0px 0.0px; line-height: 15.0px; font: 12.0px Helvetica; color: #333333;""><em>(Login to edit your profile)</em></p>
<p> </p>",0,0000-00-00 00:00:00
14,Central Islip Jr. Hoboes,Junior,junior-central-islip-jr-hoboes,,,81,team_slug_1331813741.jpg,,,,,,"<p> </p>
<p style=""margin: 0.0px 0.0px 12.0px 0.0px; line-height: 15.0px; font: 12.0px Helvetica; color: #333333;""><em>(Login to edit your profile)</em></p>
<p> </p>",0,0000-00-00 00:00:00
15,Clayton Calumets,Motorized,motorized-clayton-calumets,,,71,team_slug_1331813741.jpg,,,,,,"<p> </p>
<p style=""margin: 0.0px 0.0px 12.0px 0.0px; line-height: 15.0px; font: 12.0px Helvetica; color: #333333;""><em>(Login to edit your profile)</em></p>
<p> </p>",0,0000-00-00 00:00:00
16,Clayton Calumets,Parade,parade-clayton-calumets,,,71,team_slug_1331813741.jpg,,,,,,"<p> </p>
<p style=""margin: 0.0px 0.0px 12.0px 0.0px; line-height: 15.0px; font: 12.0px Helvetica; color: #333333;""><em>(Login to edit your profile)</em></p>
<p> </p>",0,0000-00-00 00:00:00
17,Deerfield Hosebusters,Motorized,motorized-deerfield-hosebusters,,,73,team_slug_1331813741.jpg,,,,,,"<p> </p>
<p style=""margin: 0.0px 0.0px 12.0px 0.0px; line-height: 15.0px; font: 12.0px Helvetica; color: #333333;""><em>(Login to edit your profile)</em></p>
<p> </p>",0,0000-00-00 00:00:00
18,Delmar Boosters,Motorized,motorized-delmar-boosters,,,72,team_slug_1331813741.jpg,,,,,,"<p> </p>
<p style=""margin: 0.0px 0.0px 12.0px 0.0px; line-height: 15.0px; font: 12.0px Helvetica; color: #333333;""><em>(Login to edit your profile)</em></p>
<p> </p>",0,0000-00-00 00:00:00
